Ano;RO;AC;AM;RR;PA;AP;TO;MA;PI;CE;RN;PB;PE;AL;SE;BA;MG;ES;RJ;SP;PR;SC;RS;MS;MT;GO;DF;Total
1999;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;134,17;6692,1
2000;17.15;27.55;14.84;25.35;10.14;5.25;0.17;82.66;72.25;85.19;46.55;67.12;29.21;11.13;94.08;76.3;92.7;68.74;89.41;105.38;91.12;95.57;79.75;114.77;61.41;82.19;101.96;77.5
2001;93.85;67.82;27.69;61.93;47.94;131.68;82.17;80.13;95.28;109.94;39.5;95.42;69.88;59.09;102.22;104.8;101.89;99.75;90.78;105.13;101.36;101.09;22.85;99.93;88.61;95.71;102.22;88.43
2002;94.94;104.56;71.27;75.26;120.34;89.81;88.48;83.4;95.22;104.11;75.35;96.56;84.64;97.43;103.48;88.35;98.8;101.04;96.23;105.13;101.72;91.38;86.54;100.22;94.64;99.18;99.92;96.92
2003;115.24;99.4;91.3;110.22;124.98;114.5;115.03;102.32;111.58;119.11;116.8;108.34;119.59;99.05;132.46;107.79;103.62;126.19;114.46;119.88;107.13;115.37;110.93;119.49;120.92;109.98;101.66;112.95
2004;130.63;123.22;86.06;110.32;143.1;129.76;97.41;106.3;116.01;112.89;110.2;114.45;113.7;123.77;120.41;132.66;115.2;113.96;105.97;104.3;93.89;97.79;100.61;98.49;110.41;113.78;96.7;110.93
2005;115.99;95.12;104.03;116.01;116.35;99.34;101;113.67;102.5;110.35;100.34;107.3;109.15;110.17;93.82;117.98;107.46;110.12;107.75;102.04;99.78;101.01;101.4;97.99;109.58;106.42;101.14;106.55
2006;125.36;90.84;103.37;94.23;113.05;90.41;100.96;110.54;104.9;105.3;107.58;112.97;110.07;103.9;95.89;114.49;105.77;109.37;102.12;101.19;101.21;100.38;101.05;104.28;109.83;109.78;98.91;105.35
2007;116.7;109.45;110.07;97.31;118.49;98.29;107.82;119.71;107.07;107.88;107.25;116.26;113.35;99.63;106.25;108.2;109.28;104.49;100.54;100.23;103.17;102.4;104.53;106.44;114.8;116.26;95.26;106.8
2008;103.49;94.17;101.56;95.51;111.83;93.02;96.4;113.9;100.9;103.02;94.73;102.5;105.71;92.94;99.53;102.05;98.69;100.36;95.46;96.68;94.48;96.43;95.32;92.66;100.37;106.1;91.52;99.81
2009;102.29;103.45;103.13;100.61;117.62;100.57;103;118.1;102.35;105.67;101.01;104.4;111.23;105.33;102.66;108.09;105.45;102.47;96.69;99.13;100.19;103.11;95.32;102.13;104.65;106.9;95.78;103.74
2010;100.41;96.87;100.11;94.49;110.95;92.1;95.33;109.99;97.7;103.91;100.72;119.28;104.79;98.58;98.24;102.97;99.72;99.72;94.98;94.91;95.64;101.3;93.63;100.22;97.7;106.82;92.41;99.93
2011;102.72;105.29;94.67;97.98;109.25;93;91.41;112.84;97.02;110.92;99.47;102.34;113.67;89.95;98.03;100.29;100.8;103.76;107.16;100.34;98.59;99.79;93.87;96.29;98.48;115.54;89.52;102.39
2012;105.4;90.28;103.39;87.83;102.2;91.55;91.6;98.21;98.33;97.61;98.69;92.72;104.59;93.18;97.34;97.88;104.88;105.07;97.18;99.54;99.94;100.35;91.61;100.76;99.32;107.68;92.85;99.5
2013;73.12;44.98;61.77;43.46;51.13;58.08;69.74;58.62;69.72;70.52;69.2;69.93;72.35;65.34;77.81;71.51;76.96;76.97;69.74;72.24;75.86;70.71;72.66;64.83;65.83;73.41;84.51;70.18
2014;124.13;73.37;94.57;96.55;79.6;93.01;92.4;100.17;76.2;132.33;97.75;94.92;97.47;98;84.57;98.39;91.78;101.84;101.89;99.66;98.22;99.58;93.23;120.82;106.96;100.13;98.52;98.62
2015;99.42;61.74;83.67;97.8;51.82;78.27;69.4;78.96;64.12;99.75;84.93;72.04;90.34;87.18;82.51;80.79;79.34;90.8;95.13;94.99;84.34;89.28;72.37;87.77;85.33;75.4;66.45;84.46
2016;99.69;68.12;78.32;85.97;64.78;89.8;89.49;59.76;69.35;99.84;66.93;71.49;83.67;75.57;79.38;67.13;93.04;88.06;85.08;83.89;91.93;98.98;88.01;96.74;89.25;85.11;130.05;83.72
2017;89.38;65.32;71.02;88.55;60.83;67.87;77.76;52.31;53.84;74.71;51.74;64.22;67.71;68.84;62.81;56.27;65.86;58.57;63.2;66.62;84.51;82.27;77.76;80.75;79.44;77.85;83.29;68.05
2018;78.39;71.4;75.52;89.83;60.64;63.99;77.92;51.27;52.47;69.41;54.56;58.42;61.6;65.7;56.03;49.51;63.53;60.67;59.36;69.53;79.73;81.01;80.13;93.28;77.49;74.3;86.14;66.95
2019;50.61;46.74;51.87;50.08;39.74;45.31;55.2;31.12;32.99;43.27;29.9;37.87;39.01;38.49;36.76;29.36;41.09;38.79;23.54;45.39;59.73;58.67;55.04;53.33;49.96;50.88;58.35;42.68
Total;92.75;73.49;78.26;82.78;76.17;79.51;81.36;80.88;79.11;96.67;77.51;84.15;83.37;79.34;86.47;84.28;88.4;88.03;85.04;89.94;91.94;92.17;85.04;94.17;89.15;89.61;91.84;86.67
